epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,87.7275,0.39327,0.32532,1.13443,0.97634,1,0.99103,0.98072,0.28327,0.27292,1.1045,0.0011684,0.0011684,0.0011684
44,89.6978,0.39652,0.32352,1.17289,0.98577,1,0.99118,0.98554,0.27055,0.26858,1.11098,0.0011486,0.0011486,0.0011486
45,91.6864,0.42176,0.34457,1.17225,0.98582,1,0.99152,0.97928,0.28586,0.2723,1.10425,0.0011288,0.0011288,0.0011288
46,93.7455,0.42381,0.33206,1.14995,0.98803,1,0.99152,0.97699,0.29433,0.26937,1.0898,0.001109,0.001109,0.001109
47,95.761,0.36549,0.31075,1.11212,0.9872,1,0.99152,0.9767,0.27712,0.26199,1.09291,0.0010892,0.0010892,0.0010892
48,97.7097,0.4227,0.34688,1.18213,0.98753,1,0.99017,0.9729,0.28649,0.26829,1.09856,0.0010694,0.0010694,0.0010694
49,99.6918,0.38352,0.31567,1.13639,0.9877,1,0.99006,0.97183,0.31109,0.2789,1.10151,0.0010496,0.0010496,0.0010496
50,101.651,0.42214,0.33722,1.20035,0.98787,1,0.99096,0.97252,0.31756,0.27425,1.16705,0.0010298,0.0010298,0.0010298
51,103.627,0.36898,0.3106,1.12269,0.98802,1,0.99084,0.97971,0.28828,0.26138,1.19671,0.00101,0.00101,0.00101
52,105.599,0.3945,0.32764,1.16101,0.98809,1,0.99073,0.98221,0.26615,0.25037,1.22347,0.0009902,0.0009902,0.0009902
53,107.598,0.41477,0.32762,1.15145,0.98808,1,0.99073,0.97913,0.27797,0.25571,1.16045,0.0009704,0.0009704,0.0009704
54,109.669,0.41498,0.33243,1.16124,0.98811,1,0.99096,0.9791,0.26887,0.24856,1.12751,0.0009506,0.0009506,0.0009506
55,111.627,0.42236,0.33389,1.17425,0.98815,1,0.99096,0.98075,0.26657,0.25349,1.10133,0.0009308,0.0009308,0.0009308
56,113.591,0.40431,0.32213,1.14894,0.98813,1,0.99051,0.97754,0.27248,0.25497,1.07981,0.000911,0.000911,0.000911
57,115.565,0.38567,0.31697,1.13282,0.98819,1,0.99017,0.97599,0.27813,0.25288,1.07155,0.0008912,0.0008912,0.0008912
58,117.517,0.38768,0.30618,1.10065,0.98812,1,0.99062,0.97653,0.29058,0.25194,1.07596,0.0008714,0.0008714,0.0008714
59,119.593,0.3776,0.30454,1.14442,0.98814,1,0.99062,0.97372,0.28118,0.24769,1.10881,0.0008516,0.0008516,0.0008516
60,121.609,0.38853,0.30275,1.12976,0.98808,1,0.99084,0.97969,0.26812,0.24638,1.11725,0.0008318,0.0008318,0.0008318
61,123.606,0.36174,0.29563,1.10464,0.98806,1,0.99073,0.97943,0.26658,0.24969,1.11287,0.000812,0.000812,0.000812
62,125.59,0.42278,0.32058,1.14821,0.98802,1,0.99096,0.97997,0.28149,0.2549,1.09721,0.0007922,0.0007922,0.0007922
