epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,82.8926,0.45883,0.39777,1.21483,0.98723,1,0.98927,0.96128,0.33406,0.32244,1.12724,0.0012278,0.0012278,0.0012278
41,84.8608,0.4295,0.38236,1.16544,0.98721,1,0.99051,0.97246,0.31722,0.32496,1.18587,0.001208,0.001208,0.001208
42,86.817,0.41067,0.37607,1.14075,0.98685,1,0.99152,0.97736,0.31071,0.31513,1.20226,0.0011882,0.0011882,0.0011882
43,88.7726,0.40732,0.37745,1.15529,0.98676,1,0.99287,0.97718,0.30539,0.30842,1.19114,0.0011684,0.0011684,0.0011684
44,90.7226,0.4159,0.37693,1.15357,0.98668,1,0.99287,0.96886,0.30594,0.31731,1.11409,0.0011486,0.0011486,0.0011486
45,92.6657,0.44688,0.3952,1.17943,0.9869,1,0.99242,0.97797,0.29148,0.30467,1.10257,0.0011288,0.0011288,0.0011288
46,94.7428,0.44719,0.38827,1.17428,0.98735,1,0.99253,0.97413,0.29705,0.30017,1.09779,0.001109,0.001109,0.001109
47,96.7446,0.38759,0.36687,1.12434,0.98761,1,0.99298,0.97279,0.29203,0.29697,1.0995,0.0010892,0.0010892,0.0010892
48,98.734,0.43753,0.406,1.17614,0.98768,1,0.99354,0.96927,0.29769,0.30172,1.10325,0.0010694,0.0010694,0.0010694
49,100.668,0.40632,0.36557,1.1453,0.98793,1,0.99421,0.97558,0.30617,0.30286,1.09319,0.0010496,0.0010496,0.0010496
50,102.589,0.43509,0.377,1.21497,0.98784,1,0.99455,0.97506,0.30505,0.30088,1.09019,0.0010298,0.0010298,0.0010298
51,104.523,0.38652,0.35753,1.12802,0.98783,1,0.99444,0.97986,0.29646,0.29432,1.11069,0.00101,0.00101,0.00101
52,106.48,0.4097,0.36743,1.13912,0.98793,1,0.99455,0.98244,0.29238,0.29014,1.08521,0.0009902,0.0009902,0.0009902
53,108.422,0.43717,0.37357,1.13751,0.98786,1,0.99421,0.98233,0.29233,0.28232,1.08443,0.0009704,0.0009704,0.0009704
54,110.482,0.43628,0.37362,1.15714,0.9878,1,0.99365,0.98161,0.28559,0.27703,1.10832,0.0009506,0.0009506,0.0009506
55,112.472,0.4413,0.37776,1.17551,0.98773,1,0.99298,0.97908,0.27673,0.27911,1.107,0.0009308,0.0009308,0.0009308
56,114.46,0.41581,0.36427,1.16564,0.98772,1,0.99253,0.97764,0.27755,0.27982,1.09385,0.000911,0.000911,0.000911
57,116.443,0.3916,0.34829,1.12737,0.98777,1,0.99242,0.97853,0.29369,0.27768,1.09254,0.0008912,0.0008912,0.0008912
58,118.402,0.39696,0.34369,1.10117,0.98777,1,0.99185,0.97837,0.28246,0.27181,1.09957,0.0008714,0.0008714,0.0008714
59,120.473,0.38196,0.33786,1.16193,0.98777,1,0.99174,0.98337,0.26096,0.26391,1.10957,0.0008516,0.0008516,0.0008516
60,122.489,0.40013,0.33587,1.12601,0.98781,1,0.99242,0.98617,0.26127,0.26021,1.11005,0.0008318,0.0008318,0.0008318
61,124.459,0.38166,0.33104,1.09352,0.98786,1,0.99275,0.98758,0.27241,0.27023,1.10273,0.000812,0.000812,0.000812
62,126.419,0.43346,0.35951,1.14506,0.98783,1,0.99287,0.9863,0.26802,0.27193,1.10697,0.0007922,0.0007922,0.0007922
63,128.4,0.39117,0.3413,1.12344,0.98792,1,0.99331,0.98153,0.27268,0.27545,1.13404,0.0007724,0.0007724,0.0007724
64,130.354,0.37157,0.33663,1.13895,0.98793,1,0.99309,0.97966,0.27888,0.28064,1.17501,0.0007526,0.0007526,0.0007526
65,132.33,0.3681,0.33857,1.12789,0.98781,1,0.99331,0.98329,0.28082,0.28065,1.15893,0.0007328,0.0007328,0.0007328
66,134.293,0.37176,0.34053,1.11608,0.98771,1,0.99287,0.98088,0.29037,0.27703,1.12796,0.000713,0.000713,0.000713
67,136.245,0.36696,0.33446,1.11431,0.98768,1,0.99253,0.98236,0.28086,0.27512,1.11246,0.0006932,0.0006932,0.0006932
68,138.208,0.37963,0.33557,1.12271,0.98776,1,0.99208,0.98622,0.26204,0.27048,1.10826,0.0006734,0.0006734,0.0006734
69,140.289,0.39128,0.33589,1.13384,0.98776,1,0.99197,0.9853,0.25598,0.27407,1.1068,0.0006536,0.0006536,0.0006536
70,142.279,0.37822,0.33331,1.15969,0.9878,1,0.99264,0.98678,0.25907,0.27424,1.09647,0.0006338,0.0006338,0.0006338
71,144.249,0.39516,0.34201,1.16701,0.98773,1,0.99343,0.98706,0.27012,0.27549,1.08313,0.000614,0.000614,0.000614
72,146.205,0.36771,0.32511,1.12136,0.9876,1,0.99298,0.98344,0.27409,0.28135,1.0815,0.0005942,0.0005942,0.0005942
73,148.133,0.37715,0.33581,1.12687,0.98771,1,0.99287,0.98595,0.26914,0.28063,1.10179,0.0005744,0.0005744,0.0005744
74,150.119,0.38724,0.33362,1.13717,0.98774,1,0.99298,0.9847,0.27172,0.27669,1.13001,0.0005546,0.0005546,0.0005546
75,152.218,0.35492,0.31424,1.14527,0.98782,1,0.99253,0.9857,0.2733,0.27585,1.13924,0.0005348,0.0005348,0.0005348
76,154.186,0.3555,0.31005,1.11108,0.98781,1,0.99287,0.98831,0.27227,0.2725,1.12912,0.000515,0.000515,0.000515
77,156.134,0.37765,0.32746,1.12889,0.98793,1,0.99331,0.98732,0.27405,0.27231,1.12015,0.0004952,0.0004952,0.0004952
78,158.105,0.37743,0.3201,1.10275,0.98795,1,0.99343,0.98645,0.26732,0.27229,1.09337,0.0004754,0.0004754,0.0004754
79,160.066,0.36041,0.31972,1.11866,0.98811,1,0.99365,0.98331,0.25361,0.26236,1.09431,0.0004556,0.0004556,0.0004556
80,162.026,0.34503,0.30484,1.10615,0.98804,1,0.99433,0.98408,0.25437,0.25449,1.09598,0.0004358,0.0004358,0.0004358
81,163.962,0.37818,0.32906,1.14418,0.98805,1,0.99444,0.98262,0.25422,0.25306,1.09292,0.000416,0.000416,0.000416
82,165.922,0.3849,0.33389,1.15897,0.98802,1,0.99444,0.98614,0.25751,0.25452,1.08792,0.0003962,0.0003962,0.0003962
83,167.881,0.37181,0.33005,1.18005,0.98822,1,0.99433,0.98453,0.26192,0.26671,1.08678,0.0003764,0.0003764,0.0003764
84,169.851,0.36639,0.32263,1.13593,0.98804,1,0.99421,0.98436,0.26122,0.26837,1.11518,0.0003566,0.0003566,0.0003566
85,171.821,0.37989,0.33518,1.18547,0.98805,1,0.99399,0.98424,0.26046,0.26708,1.15311,0.0003368,0.0003368,0.0003368
86,173.9,0.35084,0.31468,1.13342,0.98804,1,0.99399,0.98772,0.26009,0.26387,1.14682,0.000317,0.000317,0.000317
87,175.892,0.36855,0.32051,1.12894,0.98803,1,0.99421,0.98714,0.25792,0.26363,1.11046,0.0002972,0.0002972,0.0002972
88,177.88,0.33925,0.29807,1.10978,0.98808,1,0.99444,0.99049,0.2536,0.25998,1.08008,0.0002774,0.0002774,0.0002774
89,179.854,0.35451,0.31302,1.10569,0.98804,1,0.99433,0.99108,0.24725,0.25567,1.07381,0.0002576,0.0002576,0.0002576
90,181.836,0.36288,0.32155,1.15765,0.98802,1,0.99433,0.98766,0.24424,0.25349,1.07239,0.0002378,0.0002378,0.0002378
91,184.18,0.26124,0.26257,1.07635,0.98801,1,0.99433,0.9857,0.24533,0.25544,1.06981,0.000218,0.000218,0.000218
92,186.05,0.24941,0.25918,1.03563,0.988,1,0.99421,0.98733,0.25368,0.26108,1.0672,0.0001982,0.0001982,0.0001982
93,188.003,0.25633,0.26128,1.01532,0.98808,1,0.99433,0.98885,0.26533,0.2621,1.07247,0.0001784,0.0001784,0.0001784
94,189.817,0.25193,0.26319,1.04905,0.98797,1,0.99444,0.98583,0.26717,0.26061,1.09358,0.0001586,0.0001586,0.0001586
95,191.599,0.24791,0.25465,1.02808,0.98796,1,0.99399,0.98565,0.26248,0.25892,1.11517,0.0001388,0.0001388,0.0001388
96,193.382,0.25399,0.26051,1.05369,0.98797,1,0.99421,0.98726,0.25438,0.25796,1.13118,0.000119,0.000119,0.000119
97,195.154,0.24623,0.25486,1.05587,0.98799,1,0.99388,0.98724,0.24623,0.25642,1.13637,9.92e-05,9.92e-05,9.92e-05
98,197.046,0.23941,0.24566,1.03533,0.988,1,0.99376,0.98866,0.24107,0.25619,1.13197,7.94e-05,7.94e-05,7.94e-05
99,198.846,0.23436,0.24673,1.02038,0.988,1,0.99388,0.98874,0.23759,0.25599,1.1278,5.96e-05,5.96e-05,5.96e-05
100,200.622,0.2365,0.24471,1.05489,0.98802,1,0.99421,0.98896,0.2347,0.25256,1.12121,3.98e-05,3.98e-05,3.98e-05
