epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.427,2.14135,3.18204,2.41414,0.02712,0.68182,0.03059,0.00999,1.79396,2.81108,2.39691,0.0001,0.0001,0.0001
2,6.63377,1.2816,2.65718,1.97282,0.65607,0.63636,0.72878,0.45972,0.67614,1.91374,1.69349,0.000217822,0.000217822,0.000217822
3,8.68655,0.80763,1.92195,1.68506,0.79677,0.98017,0.91163,0.63585,0.70187,1.33596,1.77802,0.000333268,0.000333268,0.000333268
4,10.8018,0.71242,1.40731,1.62009,0.80791,0.95587,0.91002,0.66932,0.66124,1.36966,1.53436,0.000446338,0.000446338,0.000446338
5,12.9108,0.64244,1.09425,1.41101,0.88059,0.95455,0.96489,0.84076,0.49081,0.86705,1.41306,0.000557032,0.000557032,0.000557032
6,14.9568,0.5761,0.93885,1.31679,0.88788,0.98988,0.97978,0.86697,0.47533,0.7755,1.37472,0.00066535,0.00066535,0.00066535
7,16.9275,0.60833,0.83544,1.28045,0.95054,0.98864,0.98608,0.8707,0.4977,0.72939,1.32912,0.000771292,0.000771292,0.000771292
8,18.9108,0.56584,0.74119,1.27956,0.98723,1,0.98826,0.90126,0.42644,0.52692,1.36091,0.000874858,0.000874858,0.000874858
9,20.9045,0.61706,0.72969,1.33993,0.98874,0.99761,0.99084,0.88013,0.49835,0.57765,1.28077,0.000976048,0.000976048,0.000976048
10,22.9675,0.58,0.69412,1.23019,0.98725,0.98864,0.99433,0.9164,0.44589,0.54614,1.2475,0.00107486,0.00107486,0.00107486
11,24.9631,0.54467,0.63894,1.18401,0.98876,0.99921,0.99466,0.91179,0.44191,0.50426,1.26822,0.0011713,0.0011713,0.0011713
12,27.1184,0.55071,0.60443,1.29796,0.9879,1,0.99433,0.90387,0.47042,0.57963,1.21856,0.00126536,0.00126536,0.00126536
13,29.1197,0.55234,0.59185,1.23699,0.98874,0.99814,0.99455,0.89814,0.46469,0.58559,1.20213,0.00135705,0.00135705,0.00135705
14,31.0817,0.53883,0.58129,1.22807,0.97622,0.98864,0.99457,0.91889,0.41778,0.56727,1.22954,0.00144636,0.00144636,0.00144636
15,33.0607,0.52265,0.56251,1.18046,0.98628,0.98864,0.99456,0.93437,0.41177,0.50483,1.19761,0.00153329,0.00153329,0.00153329
16,35.0187,0.55293,0.55539,1.16974,0.98876,0.9999,0.99433,0.92126,0.46636,0.49703,1.15434,0.00161785,0.00161785,0.00161785
17,36.9603,0.52391,0.54737,1.18406,0.98762,1,0.99399,0.91998,0.45586,0.52854,1.14441,0.0016832,0.0016832,0.0016832
18,38.9654,0.48096,0.50104,1.18167,0.98764,1,0.99421,0.94762,0.40977,0.50309,1.16223,0.0016634,0.0016634,0.0016634
19,40.9414,0.52597,0.49974,1.2228,0.98742,1,0.99444,0.94274,0.41931,0.47011,1.14057,0.0016436,0.0016436,0.0016436
20,42.9115,0.54066,0.49797,1.23007,0.98754,1,0.99455,0.94096,0.41323,0.43133,1.15095,0.0016238,0.0016238,0.0016238
21,44.882,0.53818,0.52993,1.27358,0.98773,1,0.99466,0.96142,0.36251,0.39301,1.18849,0.001604,0.001604,0.001604
22,46.9487,0.47109,0.48682,1.21361,0.98766,1,0.99433,0.95901,0.35575,0.37747,1.17107,0.0015842,0.0015842,0.0015842
23,48.9005,0.46292,0.44971,1.18094,0.98715,1,0.99376,0.93806,0.38206,0.37448,1.13662,0.0015644,0.0015644,0.0015644
24,50.8615,0.53837,0.48337,1.22297,0.98591,1,0.98961,0.93725,0.39438,0.39866,1.16854,0.0015446,0.0015446,0.0015446
25,52.8613,0.49725,0.47751,1.20233,0.9858,1,0.98657,0.93573,0.4007,0.41044,1.18275,0.0015248,0.0015248,0.0015248
26,54.8094,0.45851,0.44434,1.13731,0.98641,1,0.98646,0.94508,0.38382,0.37586,1.18757,0.001505,0.001505,0.001505
27,56.7613,0.46972,0.43902,1.18284,0.98507,1,0.98635,0.96447,0.3459,0.34959,1.17287,0.0014852,0.0014852,0.0014852
28,58.7297,0.47391,0.43443,1.19764,0.98615,1,0.98781,0.96457,0.34206,0.35788,1.20152,0.0014654,0.0014654,0.0014654
29,60.6903,0.43365,0.43138,1.17818,0.98688,1,0.99399,0.96797,0.33724,0.35291,1.17725,0.0014456,0.0014456,0.0014456
30,62.6514,0.44857,0.43485,1.16016,0.98706,1,0.99433,0.94597,0.35459,0.3565,1.15737,0.0014258,0.0014258,0.0014258
31,64.7574,0.45221,0.4212,1.14366,0.98693,1,0.99287,0.94654,0.36026,0.35576,1.13726,0.001406,0.001406,0.001406
32,66.7414,0.44923,0.41547,1.17154,0.98693,1,0.99275,0.96462,0.34441,0.33497,1.12926,0.0013862,0.0013862,0.0013862
33,68.7476,0.4347,0.39302,1.15141,0.98693,1,0.99219,0.97396,0.31314,0.32074,1.16366,0.0013664,0.0013664,0.0013664
34,70.7867,0.42903,0.40396,1.1787,0.98875,0.9989,0.99433,0.97248,0.30755,0.31735,1.15308,0.0013466,0.0013466,0.0013466
35,72.8186,0.47564,0.42163,1.18569,0.988,1,0.99455,0.96876,0.33799,0.31812,1.13727,0.0013268,0.0013268,0.0013268
36,74.8158,0.47362,0.41652,1.23182,0.98731,1,0.99433,0.96417,0.33692,0.31754,1.1532,0.001307,0.001307,0.001307
37,76.9289,0.4281,0.40236,1.185,0.98755,1,0.99466,0.973,0.30715,0.32035,1.12029,0.0012872,0.0012872,0.0012872
38,78.9528,0.40506,0.39252,1.15452,0.98753,1,0.99421,0.97386,0.28952,0.30291,1.15318,0.0012674,0.0012674,0.0012674
39,80.9121,0.43722,0.39347,1.18309,0.98747,1,0.99208,0.96845,0.3025,0.30456,1.16209,0.0012476,0.0012476,0.0012476
